010010 ENJA   JAN MAYEN(NOR-NAVY) NO 7056N 00840W 0009   
824250        COARI               BZ 0405S 06305W 0046   
824440 SBIH   ITAITUBA            BZ 0415S 05600W 0034   
824450        ITAITUBA            BZ 0416S 05558W 0045   
824600        BACABAL             BZ 0415S 04449W 0026   
824760        CAXIAS              BZ 0451S 04320W 0103   
824800        PIRIPIRI            BZ 0416S 04147W 0161   
824870        GUARAMIRANGA        BZ 0417S 03900W 0870   
824930        JAGUARVANA          BZ 0447S 03746W 0012   
825330 SBMY   MANICORE            BZ 0549S 06118W 0049   
825620 SBMA   MARABA              BZ 0521S 04909W 0102   
825640 SBIZ   IMPERATRIZE         BZ 0532S 04727W 0131   
825650        IMPERATRIZ          BZ 0532S 04728W 0131   
825660        IMPERATRIZ          BZ 0532S 04730W 0123   
825680        GRAJAU              BZ 0549S 04628W 0163   
825710        BARRA DO CORDA      BZ 0530S 04516W 0174   
825780        TEREZINA            BZ 0505S 04249W 0090   
825790 SBTE   TERESINA AIRPORT    BZ 0503S 04249W 0069   
825830        CRATEUS             BZ 0510S 04040W 0299   
825860        QUIXERAMOBIM        BZ 0512S 03918W 0211   
825880        MORADA NOVA         BZ 0507S 03822W 0044   
825900        APODI               BZ 0539S 03748W 0065   
825910 SBMS   MOCORO/17 ROSADO    BZ 0512S 03722W 0023   
825940        MACAU               BZ 0507S 03638W 0006   
825950        CALCANHAR           BZ 0510S 03529W 0014   
825960        CEARA-MIRIM       & BZ 0539S 03525W 0061   
825980        NATAL               BZ 0546S 03512W 0045   
825990 SBNT   NATAL/AUGUSTO SEVER BZ 0555S 03515W 0052   
826100        EIRUNEPE            BZ 0640S 06952W 0188   
826400 SBEK   JACAREACANGA        BZ 0616S 05744W 0098   
826590        ARAGUINA            BZ 0712S 04812W 0229   
826680        SAO FELIX DO XINGU  BZ 0638S 05158W 0150   
826780        FLORIANO            BZ 0646S 04301W 0138   
826830        TAUA                BZ 0600S 04025W 0399   
826843 SBCJ   CARAJAS/MARABA      BZ 0607S 05000W 0621   
826860        IGUATU              BZ 0622S 03918W 0217   
826890        SAO GONCALO         BZ 0645S 03813W 0233   
826910        FLORANIA            BZ 0607S 03649W 0324   
826930        CRUZETA             BZ 0626S 03635W 0226   
827040 SBCZ   CRUZEIRO DO SUL     BZ 0738S 07240W 0170   
827230        LABREA              BZ 0715S 06450W 0060   
827270        HUMAITA           & BZ 0731S 06300W 0050   
827410        ALTO TAPAJOS        BZ 0721S 05731W 0140   
827530        OURICURI            BZ 0754S 04003W 0459   
827600        BALSAS              BZ 0703S 04204W 0251   
827640 SBCI   CAROLINA AIRPORT    BZ 0719S 04728W 0183   
827650        CAROLINA            BZ 0720S 04728W 0212   
827710        URUCUI              BZ 0714S 04433W 0187   
827770        CAMPOS SALES        BZ 0700S 04323W 0583   
827800        PICOS               BZ 0705S 04107W 0223   
827840        BARBALHA            BZ 0719S 03918W 0409   
827890        TRIUNFO           & BZ 0751S 03808W 1020   
827910        PATOS               BZ 0701S 03716W 0249   
827920        MONTEIRO            BZ 0753S 03704W 0599   
827950 SBKG   CAMPINA GRANDE      BZ 0713S 03553W 0560   
827960        CAMPINAGRANDE       BZ 0716S 03553W 0500   
827970        SURUBIM             BZ 0718S 03526W 0418   
827980 SBJP   JOAO PESSOA/PRES CA BZ 0706S 03452W 0007   
828070 SBTK   TARAUACA            BZ 0810S 07046W 0190   
828240 SBPV   PORTO VELHO(CV/MIL) BZ 0846S 06355W 0088   
828250        PORTO VELHO         BZ 0846S 06305W 0060   
828610 SBAA   CONCEICAO ARAGUAIA  BZ 0815S 04912W 0160   
828630        PEDRO AFONSO      & BZ 0858S 04811W 0187   
828790        SAO JOAO DO PIAUI   BZ 0821S 04215W 0236   
828820        PAULISTANA          BZ 0808S 04109W 0375   
828860        CABROBO           & BZ 0831S 03920W 0341   
828930        GARANHUNS           BZ 0853S 03631W 0822   
828950        CARUARU             BZ 0817S 03558W 0529   
828990 SBRF   RECIFE/GUARARAPES   BZ 0804S 03451W 0019   
829000        RECIFE/CURADO       BZ 0803S 03455W 0007   
829150        RIO BRANCO          BZ 0958S 06748W 0136   
829170 SBRB   RIO BRANCO/MEDICI   BZ 1000S 06748W 0143   
829270        COTRIGWACU          BZ 0955S 05816W 0250   
829650 SBAT   ALTA FLORESTA       BZ 0952S 05606W 0288   
829654 SBCC   CACHIMBO            BZ 0920S 05457W 0536   
829750        BOM JESUS           BZ 0906S 04407W 0331   
829760        CARACOL             BZ 0917S 04320W 0524   
829790        REMANSO             BZ 0938S 04206W 0400   
829830        PETROLINA           BZ 0923S 04029W 0370   
829840 SBPL   PETROLINA AIRPORT   BZ 0921S 04033W 0375   
829860 SBUF   PAULO AFONSO        BZ 0924S 03813W 0252   
829890        AGUA BRANCA         BZ 0910S 03732W 0605   
829900        PAO DE ACUCATR      BZ 0927S 03715W 0019   
829920        PALMEIRO DOS INDIOS BZ 0927S 03642W 0275   
829930 SBMO   MACEIO/CAMPO PALMAR BZ 0931S 03547W 0115   
829940        MACEIO              BZ 0940S 03542W 0089   
830330        MACHADO             BZ 2140S 04550W 0905   
830360        SAO SEBASTIO ISLAND BZ 2348S 04524W 0005   
830550        PICO COUTO          BZ 2227S 04317W 0350   
830580 SBRQ   SAO ROQUE/S. PAULO  BZ 2331S 04707W 0750   
830630 SBPN   PORTO NACIONAL ARPT BZ 1042S 04824W 0290   
830640        PORTO NACIONAL      BZ 1031S 04843W 0239   
830760        IBIPETUBA           BZ 1101S 04431W 0450   
830880        SENAR DO BOMFMI     BZ 1028S 04011W 0055   
830950 SBAR   ARACAJU/SANTA MARIA BZ 1059S 03704W 0009   
830960        ARACAJU             BZ 1055S 03703W 0006   
830970        PROPRIA             BZ 1012S 03652W 0019   
831110 SBJR   RIO/JACAREPAGUA     BZ 2259S 04322W 0003   
831560 SBSY   SANTA ISABEL MORRO  BZ 1134S 05040W 0197   
831790        BARRA               BZ 1105S 04310W 0403   
831820        IRECE               BZ 1118S 04152W 0747   
831840        MORRO DO CHAPEU     BZ 1133S 04109W 1005   
831860        JACOBINA            BZ 1111S 04028W 0484   
831900        SERRINHA            BZ 1138S 03858W 0359   
831920        CIPO                BZ 1105S 02831W 0145   
831950        ITABAIANINHA        BZ 1107S 03749W 0208   
832080 SBVH   VILHENA             BZ 1244S 06008W 0652   
832140        MATUPA              BZ 1015S 05455W 0285   
832200 SBXG   RIO XINGU (MIL)     BZ 1200S 05324W 0300   
832210        FEIRA DE SANTANA    BZ 1212S 03854W 0234   
832280        PEIXE               BZ 1201S 04832W 0250   
832290        SALVADOR            BZ 1301S 03831W 0051   
832310        PARANA              BZ 1233S 04747W 0275   
832350        TAGUATINGA          BZ 1216S 04626W 0597   
832360        BARREIRAS           BZ 1209S 04500W 0440   
832420        LENCOIS             BZ 1234S 04123W 0427   
832440        ITABERABA           BZ 1233S 04026W 0249   
832480 SBSV   SALVADOR/DOIS JULHO BZ 1254S 03820W 0006   
832490        ALAGOINHA           BZ 1217S 03835W 0130   
832640        VERA/GLEBA CELESTE  BZ 1212S 05630W 0368   
832700        CANARANA            BZ 1320S 05230W 0430   
832860        CORRENTINA          BZ 1320S 04438W 0589   
832880 SBLP   BOM JESUS DA LAPA   BZ 1316S 04325W 0458   
832890        BOM JESUS DA LAPA   BZ 1316S 04326W 0440   
832920        ITUACU            & BZ 1349S 04118W 0533   
832950        JAGUAQUARA          BZ 1322S 03957W 0755   
833020        ALCOMAT             BZ 1415S 05915W 0690   
833090        DIAMANTINO          BZ 1424S 05627W 0286   
833190 SBXV   XAVANTINA         & BZ 1442S 05221W 0315   
833320        POSSE               BZ 1406S 04622W 0950   
833340        FORMOSO           & BZ 1456S 04615W 0840   
833380        BOGUS BRAZILIAN     BZ 0000S 00000W    
833390        CAETITE             BZ 1403S 04237W 0882   
833440 SBQV   VITORIA DA CONQUIST BZ 1457S 04053W 0905   
833480        ILHEUS              BZ 1448S 03904W 0060   
833490 SBIL   ILHEUS AIRPORT      BZ 1448S 03901W 0005   
833580        POXOREU             BZ 1542S 05418W 0354   
833590 SBBW   BERRA DO GARCAS     BZ 1552S 05223W 0350   
833610        CUIABA              BZ 1533S 05607W 0179   
833620 SBCY   CUIABA/MARECHAL RON BZ 1539S 05606W 0182   
833640        PADRE RECORDS REM   BZ 1547S 05604W 0140   
833650        SANGRADOURO         BZ 1538S 05354W 0555   
833680        ARAGARCAS           BZ 1554S 05214W 0345   
833740        GOIAS               BZ 1555S 05008W 0495   
833750 SBGA   GAMA                BZ 1603S 04803W 0700   
833760        PIRENOPOLIS         BZ 1551S 04858W 0730   
833770        BRASILIA            BZ 1547S 04756W 1158   
833780 SBBR   BRASILIA (CIV/MIL)  BZ 1552S 04756W 1061   
833790        FORMOSA             BZ 1532S 04720W 0912   
833830        BURITIS             BZ 1537S 04625W 0600   
833840        ARINOS              BZ 1536S 04654W 0519   
833860        JANUARIA            BZ 1526S 04422W 0487   
833880        MONTE AZUL          BZ 1509S 04253W 0605   
833890        MOCAMBINHO          BZ 1503S 04401W 0452   
833930        PEDRA AZUL          BZ 1600S 04117W 0649   
833950        JANAUBA             BZ 1547S 04318W 0516   
833980        CANAVIEIRAS         BZ 1540S 03856W 0005   
834050        CACERES             BZ 1603S 05741W 0118   
834080        CARINHANHA          BZ 1418S 04347W 0556   
834100        RONDONOPOLIS        BZ 1627S 05434W 0094   
834190 SBAN   ANAPOLIS (BRAZ-AFB) BZ 1614S 04858W 1137   
834230        GOIANIA             BZ 1641S 04917W 0729   
834240 SBGO   GOIANIA/SANTA GENOV BZ 1638S 04913W 0747   
834280        BOGUS BRAZILIAN     BZ 0000S 00000W    
834370 SBMK   MONTES CLAROS       BZ 1643S 04352W 0646   
834410        SALINAS             BZ 1611S 04217W 0472   
834420        ARACUAI           & BZ 1651S 04159W 0284   
834700        RIO VERDE           BZ 1755S 05055W 0727   
834790        PARACATU            BZ 1713S 04653W 0712   
834810        JOAO PINHEIRO       BZ 1742S 04610W 0760   
834830        PIRAPORA            BZ 1721S 04457W 0521   
834880        ITAMARANDIBA        BZ 1751S 04251W 1097   
834920        TEOFILO OTONI       BZ 1751S 04130W 0338   
834970 SBCV   CARAVELAS AIRPORT   BZ 1738S 03915W 0004   
834980        CARAVELAS           BZ 1744S 03915W 0003   
834990        ABROLHOS ISLAND     BZ 1758S 03842W 0038   
835120        COXIM               BZ 1830S 05446W 0286   
835130        NHUMIRIM            BZ 1859S 05639W 0089   
835140        CAPINOPOLIS         BZ 1841S 04934W 0621   
835220        IPAMERI             BZ 1743S 04810W 0752   
835253 SBUL   UBERLANDIA        & BZ 1853S 04814W 0943   
835260        CATALAO             BZ 1810S 04758W 0857   
835310        PATOS DE MINAS      BZ 1836S 04631W 0896   
835360        CURVELO             BZ 1846S 04426W 0616   
835380        DIAMANTINA        & BZ 1814S 04336W 1297   
835430        GOVERNADOR VALADARE BZ 1851S 04156W 0277   
835500        SAO MATEUS          BZ 1842S 03951W 0025   
835520 SBCR   CORUMBA INTL ARPT   BZ 1900S 05739W 0154   
835540        CORUMBA             BZ 1900S 05740W 0142   
835650        PARANAIBA           BZ 1942S 05111W 0331   
835660        CONFIS INTNL ARPT   BZ 1937S 04334W 0827   
835700        POMPEU              BZ 1913S 04500W 0691   
835740        FRUTAL              BZ 2002S 04856W 0543   
835760 SBUR   UBERABA             BZ 1947S 04758W 0807   
835770        UBERABA             BZ 1945S 04755W 0743   
835790        ARAXA               BZ 1934S 04656W 1004   
835820        BAMBUI              BZ 2001S 04559W 0662   
835830 SBBH   BELO HORIZ/PAMPULHA BZ 1951S 04357W 0785   
835860        SETE LAGOAS         BZ 1929S 04415W 0732   
835870 SBCF   BELO HORIZ/TANCREDO BZ 1950S 04356W 0917   
835883 SBLS   LAGOA SANTA(CV/MIL) BZ 1940S 04354W 0837   
835890        CONCEICAO MATO DENT BZ 1902S 04326W 0675   
835920        CARATINGA           BZ 1948S 04209W 0609   
835950        AIMORES             BZ 1929S 04104W 0083   
835970        LINHARES            BZ 1924S 04004W 0028   
836050        BOGUS BRAZILIAN     BZ 0000S 00000W    
836110        CAMPO GRANDE        BZ 2028S 05441W 0527   
836120 SBCG   CAMPO GRANDE INTL   BZ 2028S 05440W 0556   
836150        AGUA CLARA          BZ 2027S 05253W 0365   
836170 SBUP   URUBUPUNGA/CASTILHO BZ 2048S 05134W 0356   
836180        TRES LAGOAS         BZ 2047S 05138W 0328   
836230        VOTUPORANGA         BZ 2025S 04959W 0503   
836250        BARRETO             BZ 2038S 04834W 0000   
836300        FRANCA              BZ 2033S 04726W 1026   
836343 SBFU   FURNAS (PRIVATE)  & BZ 2042S 04620W 0735   
836370        OLIVEIRA            BZ 2041S 04449W 0966   
836390        CAPARAO             BZ 2031S 04152W 0843   
836420        VICOSA              BZ 2045S 04251W 0689   
836460        CACHOEIRO ITAPEMIRI BZ 2051S 04106W 0077   
836480        VITORIA             BZ 2019S 04020W 0036   
836490 SBVT   VITORIA/GOIABEIRAS  BZ 2016S 04017W 0004   
836500        TRINDADE ISLAND     BZ 2030S 02919W 0005   
836540        PORTO MURTINHO      BZ 2143S 05753W 0098   
836590        DOURADOS            BZ 2214S 05449W 0454   
836600        MARAMBAIA           BZ 2303S 04336W 0009   
836630        PONTA DA ARMACAO    BZ 2253S 04302W 0002   
836690        SAO SIMAO           BZ 2129S 04733W 0617   
836710 SBYS   PIRASSUNUNGA/CAMPO  BZ 2159S 04720W 0598   
836740 SBLN   LINS                BZ 2140S 04945W 0426   
836760        CATANDUVA           BZ 2108S 04858W 0536   
836793 SBRP   LEITE LOPES/RIBEIR& BZ 2108S 04747W 0549   
836810 SBPC   POCOS DE CALDAS     BZ 2151S 04634W 1260   
836830        MACHADO             BZ 2140S 04555W 0873   
836870        LAVRAS              BZ 2114S 04500W 0933   
836880        SAO JOAO DEL REI    BZ 2108S 04416W 0991   
836890 SBBQ   BARBACENA (CIV/MIL) BZ 2115S 04346W 1171   
836920 SBJF   JUIZ FORA/FRANCISCO BZ 2146S 04321W 0939   
836950        ITAPERUNA           BZ 2112S 04153W 0123   
836980 SBCP   CAMPOS/BARTOLOMEU   BZ 2145S 04120W 0011   
836993 SBME   MACAE               BZ 2221S 04146W 0002   
837000        SAO TOME            BZ 2203S 04103W 0004   
837020        PONTA PORA          BZ 2232S 05544W 0650   
837030 SBPP   PONTA PORA INTL     BZ 2233S 05542W 0660   
837040        IVINHEMA            BZ 2219S 05356W 0369   
837080 SBGW   GUARATINGUETA (MIL) BZ 2247S 04512W 0533   
837140        CAMPOS DO JORDAO    BZ 2244S 04535W 1593   
837160 SBDN   PRESIDENTE PRUDENTE BZ 2207S 05123W 0435   
837180        CORDEIRO            BZ 2202S 04222W 0485   
837190        CABO FRIO (CAPE)    BZ 2259S 04202W 0007   
837210 SBKP   CAMPINAS/VIRACOPOS  BZ 2300S 04708W 0661   
837220 SBBU   BAURU               BZ 2219S 04904W 0590   
837260 SBSA   SAO CARLOS(PRIVATE) BZ 2201S 04753W 0856   
837290        CAMPINAS            BZ 2254S 04705W 0669   
837320        OURO FINO           BZ 2217S 04633W 0925   
837360        SAO LOURENCO        BZ 2206S 04501W 0900   
837380 SBRS   RESENDE             BZ 2229S 04428W 0439   
837410 SBSC   SANTA CRUZ (MIL)    BZ 2256S 04343W 0003   
837420        VASSOURAS           BZ 2224S 04340W 0437   
837430        RIO DE JANEIRO      BZ 2255S 04310W 0005   
837440        RASA ISLAND         BZ 2304S 04309W 0075   
837460 SBGL   GALEAO/RIO(CIV/MIL) BZ 2249S 04315W 0006   
837480 SBAF   AFONSOS ARPT (MIL)  BZ 2252S 04322W 0034   
837550 SBRJ   SANTOS DUMONT/RIO   BZ 2254S 04310W 0003   
837590 SBES   SAO PEDRO DA ALDEIA BZ 2249S 04206W 0011   
837660        LONDRINA            BZ 2323S 05111W 0566   
837670 SBMG   MARINGA             BZ 2325S 05157W 0542   
837680 SBLO   LONDRINA AIRPORT    BZ 2320S 05108W 0570   
837690        JACAREZINHO         BZ 2309S 04958W 0470   
837730        AVARE               BZ 2306S 04855W 0793   
837740        ITAPEVA             BZ 2357S 04853W 0647   
837750        GUAIRA              BZ 2405S 05415W 0271   
837753 SBGR   GUARULHOS (CIV/MIL) BZ 2326S 04628W 0750   
837790 SBMT   MARTE (CIV/MIL)   & BZ 2331S 04638W 0722   
837800 SBSP   SAO PAULO/CONGONHAS BZ 2337S 04639W 0803   
837810        SAO PAULO           BZ 2330S 04637W 0792   
837820        SANTOS              BZ 2356S 04620W 0016   
837830        CAMPO MOURAO        BZ 2403S 05222W 0617   
837840        TAUBATE             BZ 2301S 04534W 0577   
837860        UBATUBA             BZ 2306S 04503W 0008   
837870        MOELA               BZ 2403S 04616W 0101   
837880        ANGRA DOS REIS      BZ 2301S 04419W 0002   
838093 SBSJ   SAO JOSE DOS CAMPO& BZ 2314S 04552W 0646   
838110        IVAI                BZ 2424S 05050W 0808   
838130        CASTRO              BZ 2447S 05000W 1009   
838140        JAGUARIAIVA       & BZ 2415S 04942W 0923   
838180 SBST   SANTOS (BRAZ-AFB)   BZ 2356S 04618W 0003   
838210        IGUAPE              BZ 2443S 04733W 0003   
838270 SBFI   FOZ DO IGUACU ARPT  BZ 2531S 05435W 0243   
838280        TOLEDO              BZ 2444S 05344W 0550   
838310        SAO MIGUEL IGUACU   BZ 2520S 05415W 0290   
838360        IRATI               BZ 2528S 05038W 0854   
838370        PONTA GROSSA        BZ 2506S 05010W 0868   
838400 SBCT   CURITIBA/AFONSO PEN BZ 2531S 04910W 0908   
838420 SBBI   CURITIBA/BACACHERI  BZ 2526S 04916W 0923   
838440 SBPG   PARANAGUA           BZ 2531S 04831W 0004   
838510        SOROCABA            BZ 2329S 04728W 0632   
838570        SOROCABA            BZ 2329S 04727W 0631   
838600        PALMAS              BZ 2629S 05159W 1090   
838640        PORTO UNIAO         BZ 2614S 05104W 0778   
838670        RIO NEGRO           BZ 2606S 04948W 0824   
838720        INDAIAL             BZ 2654S 04913W 0086   
838740        SAO FRANCISCO DO SU BZ 2615S 04839W 0072   
838810        IRAI                BZ 2711S 05314W 0258   
838830        CHAPECO             BZ 2707S 05237W 0679   
838870        CAMPOS NOVOS        BZ 2724S 05112W 0947   
838910        LAGES               BZ 2749S 05020W 0937   
838950        ARVOREDO ISLAND     BZ 2718S 04821W 0020   
838970        FLORIANOPOLIS       BZ 2735S 04834W 0002   
838990 SBFL   FLORIANOPOLIS ARPT  BZ 2740S 04833W 0005   
839070        SAO LUIZ GONZAGA    BZ 2824S 05501W 0244   
839120        CRUZ ALTA           BZ 2838S 05337W 0464   
839140 SBPF   PASSO FUNDO/LAURO   BZ 2815S 05224W 0684   
839160        LAGOA VERMELHA      BZ 2813S 05132W 0806   
839180        VACARIA             BZ 2833S 05056W 0955   
839190        BOM JESUS           BZ 2840S 05026W 1048   
839200        SAO JOAQUIM         BZ 2818S 04956W 1399   
839240        LAGUNA              BZ 2829S 04848W 0031   
839250        SANTA MARTA         BZ 2836S 04849W 0045   
839270        URUGUAIANA          BZ 2945S 05705W 0062   
839280 SBUG   URUGUAIANA/RUBEM    BZ 2947S 05702W 0074   
839310        ALEGRETE            BZ 2941S 05531W 0121   
839360        SANTA MARIA         BZ 2942S 05342W 0114   
839370 SBSM   SANTA MARIA(CV/MIL) BZ 2943S 05342W 0085   
839420        CAXIAS DO SUL       BZ 2910S 05112W 0759   
839480        TORRES              BZ 2920S 04943W 0030   
839520        CANOAS              BZ 2956S 05108W 0009   
839530        SANTANA DO LIVRAMEN BZ 3053S 05532W 0231   
839640        ENCRUZILHADA DO SUL BZ 3032S 05231W 0428   
839670 SBCO   PORTO ALEGRE/CANOAS BZ 3001S 05113W 0047   
839700        MOSTARDAS           BZ 3115S 05054W 0005   
839710 SBPA   PORTO ALEGRE/SALGAD BZ 3000S 05111W 0003   
839800        BAGE                BZ 3120S 05406W 0242   
839810 SBBG   BAGE/CMDT KRAEMER   BZ 3121S 05407W 0180   
839850 SBPK   PELOTAS             BZ 3152S 05221W 0013   
839950        RIO GRANDE          BZ 3201S 05205W 0201   
839970        SANTA VITORIA PALMA BZ 3331S 05321W 0037   
839980        CHUI                BZ 3345S 05322W 0013   
839995 SBMD   MONTE DOURADO       BZ 0053S 05236W 0200   
840010 SEGS   SEYMOUR(EQ-AFB/CIV) EQ 0027S 09016W 0016   
840080 SEST   SAN CRISTOBAL ISL   EQ 0054S 08936W 0006   
840150 SECH   CHONE               EQ 0042S 08007W 0069   
840180 SEES   ESMERALDAS-TACHINA& EQ 0058N 07938W 0008   
840270 SETU   TULCAN/EL ROSAL   & EQ 0049N 07742W 2940   
840363 SESL   SAN LORENZO       & EQ 0117N 07851W 0040   
840430 SEIB   IBARRA/ATAHUALPA  & EQ 0021N 07808W 2228   
840455 SEAS   ASCAZUBI            EQ 0005S 07818W 2743   
840630 SELA   LAGO AGRIO        & EQ 0005N 07652W 0299   
840710 SEQU   QUITO/MARISCAL SUC& EQ 0009S 07829W 2812   
840753 SELI   LIMONCOCHA        & EQ 0024S 07636W 0221   
840990 SECO   COCA/FRANCISCO    & EQ 0027S 07657W 0220   
841010 SEBC   BAHIA DE CARAQUEZ & EQ 0035S 08024W 0003   
841115 SEPV   PORTOVIEJO/REALES   EQ 0102S 08028W 0044   
841170 SEMT   MANTA/ELOY ALFARO & EQ 0057S 08041W 0014   
841230 SELT   LATACUNGA/COTOPAXI& EQ 0055S 07837W 2785   
841250 SETA   TAURA (EQ-AFB)      EQ 0216S 07941W 0017   
841310 SETI   TIPUTINI          & EQ 0047S 07531W 0220   
841350        PORTOVIEJO-GRANJA   EQ 0102S 08026W 0044   
841370        PORTOVIEJO          EQ 0102S 08027W 0044   
841470 SEAM   AMBATO/CHACHOAN   & EQ 0112S 07834W 2520   
841600        AMBATO-GRANJA       EQ 0115S 07837W 2680   
841630 SEPA   PASTAZA/RIO AMAZON& EQ 0130S 07803W 1043   
841760 SERB   RIOBAMBA/CHIMBORAZO EQ 0138S 07840W 2796   
842000 SESA   SALINAS/GEN ULPIAN& EQ 0212S 08059W 0008   
842030 SEGU   GUAYAQUIL/SIMON BOL EQ 0209S 07953W 0009   
842390 SECU   CUENCA/MARISCAL LA& EQ 0253S 07859W 2531   
842480 SEMH   MACHALA/GEN SERRAN& EQ 0315S 07958W 0010   
842650 SELO   CATAMAYO/ENRIQUEZ   EQ 0400S 07922W 1238   
842790 SEMA   MACARA/J.M.VELASCO  EQ 0422S 07956W 0430   
843700 SPME   TUMBES/PEDRO CANGA  PR 0333S 08024W 0027   
843713 SPOS   ZORRITOS          & PR 0340S 08040W 0049   
843770 SPQT   IQUITOS/SECADA      PR 0345S 07315W 0126   
843900 SPYL   TALARA/CAPT MONTES  PR 0434S 08115W 0090   
844010 SPUR   PIURA/CAPT CONCHA   PR 0511S 08036W 0055   
844250 SPMS   YURIMAGUAS/MOISES   PR 0554S 07605W 0184   
844350 SPBB   MOYOBAMBA           PR 0602S 07658W 0833   
844400 SPJA   RIOJA               PR 0603S 07709W 0792   
844440 SPPY   CHACHAPOYAS         PR 0613S 07750W 2435   
844520 SPHI   CHICLAYO/CAPT JOSE  PR 0647S 07950W 0034   
844550 SPST   TARAPOTO            PR 0627S 07623W 0282   
844720 SPJR   CAJAMARCA/REVOREDO  PR 0708S 07828W 2622   
844740 SPJI   JUANJUI             PR 0713S 07643W 0363   
845010 SPRU   TRUJILLO/MARTINEZ   PR 0806S 07902W 0030   
845050        SANTIAGO DE CHUCO   PR 0808S 07810W 3130   
845150 SPCL   PUCALLPA (CIV/MIL)  PR 0825S 07436W 0149   
845310 SPEO   CHIMBOTE/TENIENTE   PR 0910S 07831W 0011   
845340 SPGM   TINGO MARIA         PR 0908S 07557W 0665   
845420 SPHZ   ANTA/HUARAZ         PR 0921S 07736W 2760   
845640 SPNC   HUANUCO/ALFEREZ FAP PR 0954S 07545W 1860   
845700        CERRO DE PASCO      PR 1041S 07615W 4334   
845723 SPPG   PARAMONGA         & PR 1040S 07750W 0046   
845930 SPAY   ATALAYA             PR 1044S 07347W 0451   
846233 SPJJ   JAUJA             & PR 1147S 07528W 3322   
846280 SPIM   LIMA/JORGE CHAVEZ   PR 1200S 07707W 0013   
846323 SPLP   LAS PALMAS (MIL)  & PR 1210S 07700W 0076   
846333 SPHU   HUANCAYO          & PR 1204S 07514W 3350   
846580 SPTU   PUERTO MALDONADO    PR 1238S 06912W 0266   
846730 SPHO   AYACUCHO/CORONEL    PR 1308S 07413W 2749   
846770 SPIL   QUINCEMIL           PR 1316S 07040W 0634   
846800        CASTROVIRREYNA/SINT PR 1317S 07519W 3601   
846860 SPZO   CUZCO/VELAZCO ASTET PR 1333S 07159W 3249   
846880 SPHY   ANDAHUAYLA          PR 1343S 07321W 3444   
846910 SPSO   PISCO (CIV/MIL)     PR 1345S 07617W 0007   
847210 SPJN   SAN JUAN DE MARCONA PR 1523S 07510W 0060   
847350 SPJL   JULIACA             PR 1529S 07009W 3827   
847465 SPVL   CARAVELI            PR 1546S 07322W 1833   
847520 SPQU   AREQUIPA/RODRIGUEZ  PR 1619S 07133W 2520   
847610 SPDO   MOLLENDO            PR 1702S 07201W 0013   
847615 SPEQ   CESAR TORQUE PODEST PR 1711S 07056W 1366   
847710 SPLO   ILO                 PR 1742S 07121W 0009   
847750        PUNTA COLES         PR 1742S 07123W 0050   
847820 SPTN   TACNA/CIRIANI       PR 1804S 07018W 0458   
850330 SLGY   GUAYARAMERIN        BO 1049S 06521W 0130   
850410 SLCO   COBIJA              BO 1105S 06852W 0252   
850430 SLRI   RIBERALTA           BO 1101S 06607W 0135   
851040 SLJO   SAN JOAQUIN         BO 1304S 06440W 0140   
851090        BELLA VISTA         BO 1307S 06347W 0142   
851140 SLMG   MAGDALENA           BO 1320S 06409W 0141   
851230 SLSA   SANTA ANA DE YACUMA BO 1343S 06535W 0144   
851400 SLRY   REYES             & BO 1418S 06722W 0280   
851410 SLRQ   RURRENABAQUE        BO 1429S 06729W 0202   
851510 SLAP   APOLO               BO 1444S 06825W 1415   
851520 SLSB   SAN BORJA/CAPT GERM BO 1452S 06645W 0194   
851530 SLSM   SAN IGNACIO DE MOXO BO 1458S 06538W 0241   
851540 SLTR   TRINIDAD/JORGE HENR BO 1451S 06457W 0157   
851750 SLAS   ASCENCION GUARAYOS  BO 1543S 06306W 0247   
851950 SLJV   SAN JAVIER          BO 1616S 06228W 0520   
851960 SLCP   CONCEPCION          BO 1615S 06206W 0497   
852010 SLLP   LA PAZ/JFK INTL     BO 1631S 06811W 4014   
852070 SLSI   SAN IGNACIO VELASCO BO 1622S 06057W 0413   
852100        SAN MATIAS          BO 1623S 05819W    
852230 SLCB   COCHABAMBA/JORGE WI BO 1727S 06606W 2531   
852300 SLCN   CHARANA             BO 1735S 06927W 4057   
852420 SLOR   ORURO/JUAN MENDOZA  BO 1803S 06704W 3702   
852440 SLVR   VIRU VIRU INTL ARPT BO 1739S 06308W 0373   
852450 SLET   SANTA CRUZ/EL TROMP BO 1748S 06310W 0414   
852470 SLJE   SAN JOSE            BO 1750S 06045W 0284   
852640        VALLEGRANDE         BO 1830S 06406W    
852680 SLRB   ROBORE (CIV/MIL)    BO 1819S 05945W 0284   
852830 SLSU   SUCRE/JUANA AZURDUY BO 1901S 06516W 2903   
852890 SLPS   PUERTO SUAREZ/SALVA BO 1900S 05744W 0135   
852930 SLPO   POTOSI/ROJAS        BO 1932S 06543W 3934   
853120        MONTEAGUDD          BO 1950S 06400W    
853150 SLCA   CAMIRI              BO 2003S 06334W 0792   
853450 SLVM   VILLA MONTES/RAFAEL BO 2116S 06330W 0400   
853640 SLTJ   TARIJA/CAPT ORIEL   BO 2132S 06443W 1858   
853650 SLYA   YACUIBA             BO 2201S 06342W 0617   
